insert into user values (90000001, '三宅', '成子', '1978/04/15', 00000002, 4, 3,  'r.arihara.sys20', 'tZrYlHcwBalz4ZOCgJfB6rYOQpQldPLJ', '022280ae81d6365fbaf888399fc438e82df4fe7b9053563a7326f0c405c58b7a', false);
insert into user values (90000206, '藤川', '一典', '1990/11/27',90000015 , 6, 6,  'r.arihara.sys20', '7VPQbm68cduQGrdFHcSJW8jRg9KWPX9f', '91a20c331b4411c3560e1316ef6eecb429b34a03b6b962f2a3d604d0c330019c', false);
insert into user values (90000207, '大塚', '心一', '1972/02/25',90000015 , 6, 6,  'r.arihara.sys20', 'GRPflHn85ibdIcv38dl47QlSRlG4qRjD', '13f87ebf146c9424c8136349cfc5408a09ad804fffe13db1dc6b1fe8a122c5a1', false);
insert into user values (90000208, '矢島', 'ひとみ', '1975/07/15',90000015 , 6, 6,  'r.arihara.sys20', 'X7K9Wg5N4XOBVeUO49MmSd6rY1j0lFuq', 'ac3db884ea008ad7fb516ad12c6cbb1cb0dd28b2123e8a3c1309fb14297a720f', false);
insert into user values (90000209, '小倉', 'ナツ子', '1993/04/09',90000015 , 6, 6,  'r.arihara.sys20', 'FSWD7rb9ythruqyBChvcW9Vl4KgdFwaz', 'ccf55a596997a12b395f66bc1f48fb30bbdc70fda0f8a17cafc86afccfa63489', false);
insert into user values (90000210, '手塚', '金義', '1970/08/11',90000015 , 6, 6,  'r.arihara.sys20', '2MBeA0C7ZD6E3VHStsnc31PtpcDKJLfb', '3d5d4e6792cf1d69c4296c25efefa72a51cbcbc241f7c511aad001b4b77ff113', false);
insert into user values (90000211, '荒木', '僧三郎', '1973/07/25',90000015 , 6, 6,  'r.arihara.sys20', '9oPQkc4VhIFZ21fUFN2cwGSbd8H8Dd3U', 'e3c6b1677ff070079bf3cbd79dd5b22a8e46d6784303c78caa715d433e8a35ac', false);
insert into user values (90000212, '藤村', '恵', '1993/01/03',90000015 , 6, 6,  'r.arihara.sys20', 'QfSmMzUzUwKEyfqV8ZDTaIm1ByLZR1BV', '31cc432e9d93d4e65e079b2c17ec8030fff62d263d01287538e4fa004127873a', false);
insert into user values (90000213, '片桐', '玲', '1986/12/13',90000015 , 6, 6,  'r.arihara.sys20', 'egZhNrPc8BhbuT3T5HY2Fguaru0KHou1', 'a20db872dfc1c260852e0442141619720a827e84ac23e2644ea7d48c9e6ef619', false);
insert into user values (90000214, '早川', '幸美', '1989/06/04',90000015 , 6, 6,  'r.arihara.sys20', 'IJdVgtDK1CFh7FBG9QIoHIq3g357yBwa', '08be2f04cecea507cf664c668d2e3c8e4fb3e11dd330d94b8c0c9c34d6572113', false);
insert into user values (90000016, '菅', '一典', '1977/01/07',90000004 , 5, 6,  'r.arihara.sys20', 'qsuiXDzFs92BIWOlvBNDtL3rz3udgktj', '210a8620ad6b1b011ec209c6c119ea3b77d9d6cc60f7805ea25174e6607ee2e8', false);
insert into user values (90000216, '中山', '絵梨', '1989/01/19',90000016 , 6, 6,  'r.arihara.sys20', 'X2buzFMDNyA9kkWQVXruRS5OaUezwEvA', 'a072a163ed81a0a63f55eea757e7b2ad3e082562ae9af6273c1548c9d2fe7d38', false);
insert into user values (90000217, '大木', '朗夫', '1989/01/19',90000016 , 6, 6,  'r.arihara.sys20', 'fTP98uq0iCp648mKlqSufSUF9O2UPCJS', 'c3f338b67ddd4eaf2332adf2ea730c772890ec864f5418d7be67a0e140bf6ebd', false);
insert into user values (90000218, '藤野', '圭織', '1993/09/24',90000016 , 6, 6,  'r.arihara.sys20', 'NBZgKSFjQevdByNdvPeR1HaGxxkr4xE3', '4d87a61241f19f13965aee05466eea7c39f51fbbafc7850e269d221e09b89add', false);
insert into user values (90000219, '久保田', '直幸', '1993/01/03',90000016 , 6, 6,  'r.arihara.sys20', 'pFEFLmeuWluJG3UsxTFpR1D4tWXDhA3Z', '7f8ca88fc8287b03de842b78bd453648470ca86d9a132bdc1d693200c66c1bff', false);
insert into user values (90000220, '岩田', '幸信', '1973/08/06',90000016 , 6, 6,  'r.arihara.sys20', 'nSRRvijiHAidKE5k0R76tOz4g8oLSlV8', '472e33e0a6e7b9d41316f3f179b8854453208a6d4a061dd52c0c40d3043e215d', false);
insert into user values (90000221, '滝沢', '鋼三郎', '1989/01/19',90000016 , 6, 6,  'r.arihara.sys20', 'KJtOUZvisgVkkMAOJ7Px2uf0JJ4grpeG', 'cb2dc9e697d9ca29c290f752a55eb6e994adc2b369352859980566327c29f7d6', false);
insert into user values (90000222, '矢島', '眞八', '1988/07/26',90000016 , 6, 6,  'r.arihara.sys20', 'w3re4UebN6hkE98COaTQLXCSAi3clbwT', 'f89602fa5450745aca6a327a92d1f711973bec25f8a5aadb58f31a93e4575d33', false);
insert into user values (90000223, '武藤', '勝許', '1988/07/26',90000016 , 6, 6,  'r.arihara.sys20', 'jAJUf7vozc0392BqJidwTEwMT2caMMIM', '6919c435543ea09b1aa439ed6c3ed4f7ed646c9b2bdba10668654add38343040', false);
insert into user values (90000224, '齋藤', '裕恵', '1992/05/11',90000016 , 6, 6,  'r.arihara.sys20', 't8yA8achdj8HzxYJWH8creqFeYg5AGRG', '6930d8ee1af60f0a67f3b3fa5a8171c93fcd0ae4aa04d35dd89b1a6f090f5c12', false);
insert into user values (90000225, '関', '昭良', '1974/04/23',90000016 , 6, 6,  'r.arihara.sys20', '7UMnVJnVAG1b5g8lpLQn77VAnovQ6GOb', 'd76e7d6c9827b22e3b18d756a31bc557006f4068928317f999da1fdd200db667', false);
insert into user values (90000017, '武藤', '心一', '1978/04/15',90000004 , 5, 6,  'r.arihara.sys20', '9U8jErGOykI30E4G1kUy9td74KOCh9Te', '33bfeef498f58b093f777c4f25258bb08dd07caaff2e7e7a03ae7c9b6fbac599', false);
insert into user values (90000227, '西原', '邦美', '1991/07/29',90000017 , 6, 6,  'r.arihara.sys20', 'YCiupRKRJN0AzEm2Sutad2Y5EZFIZT18', 'c39c9604375cf5844735c1eb6e1f8d869046be72e907439f21739c5be3f23324', false);
insert into user values (90000228, '長谷川', '織枝', '1973/08/06',90000017 , 6, 6,  'r.arihara.sys20', 'wSKV6PidAcwz6s24EGvuZsRUt5YmszBZ', 'aceb9139bbb360b48655484f5759dbbf4b4b78a8b76e2d5d24506675e74d323b', false);
insert into user values (90000229, '笠井', '直幸', '1973/07/17',90000017 , 6, 6,  'r.arihara.sys20', 'SFw3v2rc7UkBGfnMrz8wboNUqRGZvTxj', '79d37d9e229aad984f9e5f8fb51de528226324d296925af81f8d352373f5cbdf', false);
insert into user values (90000230, '長谷川', '一典', '1992/04/11',90000017 , 6, 6,  'r.arihara.sys20', '8aE6ydMRMaVTXMjsLztIK8sZgUI1QOEC', 'c62a216b7f410172c90e1a423b269bd6af9c6ffa746f532fd7c3ae0ccbd5f704', false);
insert into user values (90000231, '阿部', '陽子', '1977/05/14',90000017 , 6, 6,  'r.arihara.sys20', '3YqhlaHLwv9hVoYFEzsghkcs3JNsAdqh', '69cd6ed6dc7f41d0530b3510b8f596443d423a9fddfee10d6c4a1014ff59ee3c', false);
insert into user values (90000232, '古田', '鋼三郎', '1993/01/03',90000017 , 6, 6,  'r.arihara.sys20', 'Ux8Aa43O2zv8moB0msFNEXJRf2OizkWb', 'c0cd7921d29c6e746563de236d231722df2605d59b27f1fcd37e41e7131a894e', false);
insert into user values (90000233, '河村', '政治', '1977/05/14',90000017 , 6, 6,  'r.arihara.sys20', 'nNSPNKNaUdVJu7b6aAoZNDhxtPC9vz2I', '33d972ed2af240a17788c143d7b711f61e8e69ab973916789efac25b23a5781c', false);
insert into user values (90000234, '関', '成美', '1973/11/06',90000017 , 6, 6,  'r.arihara.sys20', 'Km2X3Stx9Crb1yUeBlWHgIKjhkwyjjsF', '4bdb8d79a89a18d0b012946b153ee9c74d9e1f693b9e5aa05e12bc37d321259e', false);
insert into user values (90000235, '河村', '浩一郎', '1981/01/28',90000017 , 6, 6,  'r.arihara.sys20', 'zNinxXnSHgjCvBY4MRV2I503f6cDvdMu', '76aa223bc202699e55b7e8d0e92ac740841cf51d57ca17a544030264a0433a37', false);
insert into user values (90000236, '長谷川', '茂義', '1970/09/03',90000017 , 6, 6,  'r.arihara.sys20', 'F9mdzBh42Fs6SgHu6yx9hgzRBYlURKXW', '920278348a77e0c46cb8f25e9ee59993e56c314ddce31dfe64d66bf485464404', false);
insert into user values (90000018, '矢島', '幸信', '1992/10/19',90000005 , 5, 7,  'r.arihara.sys20', '8tWpyMBqJKGaIXekmXSsfMEY3TBIP4Y4', '051415470c6a129e1f40e2f64800897e73826d5333767bfb850c8f4505bb09aa', false);
insert into user values (90000238, '浅井', '恵', '1976/12/31',90000018 , 6, 7,  'r.arihara.sys20', 'bFMnGJKQHNvPfGqWnh2cF0Z2i9qPt6ZS', 'acfa8eda8f8b42dcf374d0313a47969e478e154c125f90125d1fb7762f3f216a', false);
insert into user values (90000239, '萩原', '治次', '1973/10/15',90000018 , 6, 7,  'r.arihara.sys20', '3pHQl0X5ILyHD2AOcmnxUSVB7gUX00JN', 'ec0e05cba02168529413d1fb53192d6883cbe8f65faae1cbba7b6f4a60d4a79a', false);
insert into user values (90000240, '西', '邦美', '1976/03/11',90000018 , 6, 7,  'r.arihara.sys20', 'Cgvbn3DBvtNmYkYn0KA7k9GMrkL8eCfq', '8df994fd5a0a5f3122958a7c54b77b2d1e2316e21048bc8505daea6ea88a63bf', false);
insert into user values (90000241, '手塚', '芙美', '1985/01/07',90000018 , 6, 7,  'r.arihara.sys20', '5QwQp1UydzwfGiVBEyxtvI9G5Z0EQAsx', '29a5b4c335c7e09d65486e327d48bf524df766c60e995e2f49fb10d5cd009d89', false);
insert into user values (90000242, '早川', '育雄', '1988/11/18',90000018 , 6, 7,  'r.arihara.sys20', 'fU47PF1ZT8aLvPzjuUJRnW4V28YEKvaK', 'ff6bb581dbc9f581f565ab1ff4ad3344fcbf520f8491f0f94defdf1ff1839e4a', false);
insert into user values (90000243, '矢島', '淳子', '1980/06/15',90000018 , 6, 7,  'r.arihara.sys20', 'fcOPLs4LQccoy2vMl4hnXfNktBmaWWmN', 'fa693bf7fa1b116f16122b21f9b54b648f568a51f8c0f9c47a2cb3115a2e6597', false);
insert into user values (90000244, '菅原', '洋和', '1975/01/03',90000018 , 6, 7,  'r.arihara.sys20', 'LuDqIKtZqpUsJpFtNeDztTrvu0sDDbrv', '4cd21cca783260508192af8e90a1d7753c30c029562cfd44936d5876dd76f7fa', false);
insert into user values (90000245, '新谷', '亮子', '1984/12/30',90000018 , 6, 7,  'r.arihara.sys20', 'ncT45L7jd70zD3V09lAQgO2StXr6lyWj', '82494e4baea6ec8f76e5e17d1601e00d035c74977e9bfc29362c9b4b11d53e95', false);
insert into user values (90000246, '笠井', '恵治', '1978/11/01',90000018 , 6, 7,  'r.arihara.sys20', 'C4D3o8wgMzm4FbDA2fIbGqdZG7QVJ2in', '9fccab1300bec685f3975b889672439fe607a48f873a72ac6271c25060a13d0f', false);
insert into user values (90000247, '豊田', '政治', '1973/08/09',90000018 , 6, 7,  'r.arihara.sys20', 'yn3Wj61q6lLmmhd4mqgjqcoIqiIVVXuL', '7631d66ae8b2c6c2aa2265b29921171727bb0c623be1cf46d2e8a669978c910e', false);
insert into user values (90000019, '古田', '清一', '1977/02/18',90000005 , 5, 7,  'r.arihara.sys20', 'kN69I8BpZBj0CAOascOVj5XbK425kBkC', '76b053d859577912240011861e307d817d082169acbc8d467b27fb24f84f93e3', false);
insert into user values (90000249, '荒木', '勝許', '1970/09/03',90000019 , 6, 7,  'r.arihara.sys20', 'l2r7FKAyYdNBACfxJQLkvOjXp0eJlF7W', '83b307f8bf7c9b8bdcb0c55b31308f2236d162c7f39d1ee7568671357b329385', false);
insert into user values (90000250, '竹本', '朋美', '1990/11/27',90000019 , 6, 7,  'r.arihara.sys20', 'yvOtEntxdttLINF6WeCioc93XpkUdWGB', '930ae407d9227534951217fd5e92b65ab64789b68b12c19465b29d4b5c303732', false);
insert into user values (90000251, '丹羽', '眞八', '1970/05/03',90000019 , 6, 7,  'r.arihara.sys20', 'MyM6P0RaetcC4Hs41vZwW8klmKK86gJk', 'a70ced72e2c3633404457be4cfa48c6ceb68080afcc45386d8ce8d295872eecc', false);
insert into user values (90000252, '溝口', '英博', '1973/03/04',90000019 , 6, 7,  'r.arihara.sys20', 'jpSnkn4nWLKc76kPcgTHI8mrB7oBDEfD', 'c9b9a6c634e41dd2c4915e8894d2b7ff1921e94c56ec5a226a765a1253c9d560', false);
insert into user values (90000253, '笠井', '心一', '1986/10/24',90000019 , 6, 7,  'r.arihara.sys20', 'TWkqKOn5DH5dVWDl8niiZPwVv5qbjZSS', '1f2b7adc83073b7a44e3ed7a670041f3b87fee633496b2f25019c2d2430fa9e7', false);
insert into user values (90000254, '久保田', '征二郎', '1977/05/14',90000019 , 6, 7,  'r.arihara.sys20', 'xLGLalOPGUOLxDU4AZMHWoc6HrXwBo5R', '9869423a0592d501ca565f99f3fe3e3b6cabbb93ab226bbef529d98d4fe97205', false);
insert into user values (90000255, '藤村', '友幸', '1974/09/21',90000019 , 6, 7,  'r.arihara.sys20', 'a8FJpIzTKKlGdq2ChCsEi8tCAbxlyane', 'db9347f9ed0f758e48211cae910fd1e2e441377cb2f1680e8f1311f249db7715', false);
insert into user values (90000256, '藤野', '満生', '1988/07/26',90000019 , 6, 7,  'r.arihara.sys20', '58EVEA7RTGtheLtfntXRidCvG8CQyd1s', 'c4895cb972c5ae7efb6b6736d90dab3e028ecc0ee58c79b8e213be6adacfbed4', false);
insert into user values (90000257, '長島', '征二郎', '1973/07/17',90000019 , 6, 7,  'r.arihara.sys20', 'Q3mIOULzBksKkW19hd7RGAKLDuJ4DbS1', '3ff9bf1b0e3381418a8b6220d488b6b4fea8bae305aa002fd7c34b70abf0f41a', false);
insert into user values (90000258, '中山', '久哉', '1993/04/09',90000019 , 6, 7,  'r.arihara.sys20', 'IWOfoXMUe5JIHqlJHD1pZzuwJwpcPIea', '87df61c9a6369237b2842c90e083e8e75bc83d0c5a7353d7ed0c7788a4916479', false);
insert into user values (90000020, '高島', '眞八', '1974/03/21',90000005 , 5, 7,  'r.arihara.sys20', 'dysXNAukj6fbzI1FlWxfWI20oYLYcX8q', '549d9c384ca58948797c0ccc7523d89b33487c134e8c9db5d395b75d2afc28b6', false);
insert into user values (90000260, '足立', '一馬', '1977/01/07',90000020 , 6, 7,  'r.arihara.sys20', 'BS3pmHewzEzNEe58XMoUm6TNMm9GmIaF', '2d2f1fd93a6f95cd45a7c741d1d92e8ccf88aac7792d3c72397b46b1423fcd92', false);
insert into user values (90000261, '南', '静市', '1993/01/03',90000020 , 6, 7,  'r.arihara.sys20', 'QBwDvKBHiifNYigJjU0UaUKWlWRzQ9LG', '670a2737e857b8d568ce65abdcd12b661cd7c3b9ccdefcad7c3db84f22b78885', false);
insert into user values (90000262, '浅田', '鋼三郎', '1989/01/19',90000020 , 6, 7,  'r.arihara.sys20', 'YMEZMt8ZHet0q301vg8C2HwXuyX0tBi5', '0385949683a480ae9d866c831e394291404b2a4823948aaef893bcc844205338', false);
insert into user values (90000263, '森岡', '祐美', '1990/07/29',90000020 , 6, 7,  'r.arihara.sys20', 'AACbx3GAbeyovbNetvQv7H7POTl8accb', 'a5002661c0ce76730caef0c650c2da3b55d47972aa403d4b8b040d414daeb22a', false);
insert into user values (90000264, '森岡', '眞美', '1992/03/11',90000020 , 6, 7,  'r.arihara.sys20', 'CtnPhfN0Vwzixh5C7J1lsMhjmQlbRblE', '23efd0165fca2af04f754e23ff8366f6ae020fb67049a59ac34bf6e012728dfc', false);
insert into user values (90000265, '岩田', '邦美', '1986/10/24',90000020 , 6, 7,  'r.arihara.sys20', '2eK7NUW6cvfQYDrtDdfeNBdHlArRO6Ub', 'fc0dd705948bd4fd210e81376605277b2cf0d65bfb9c29afc85e54727edd1a14', false);
insert into user values (90000266, '石黒', '富良', '1974/06/02',90000020 , 6, 7,  'r.arihara.sys20', 'H6EtgoMR1drk08Z3JeloQXmEIUgLmESE', '29fd489390dbcc10b50b37bcf355baebcc821d160ebaf44aaa70b80684eded3a', false);
insert into user values (90000267, '久保田', '一人', '1977/05/14',90000020 , 6, 7,  'r.arihara.sys20', 'u5luNfN0JXhMSqANJVyiMjpfLZ6ID71J', '32bfce23906d008ffe8f75169910aa26e0f683b53703447d5d3d086de772f5c8', false);
insert into user values (90000268, '大谷', 'るり子', '1991/11/19',90000020 , 6, 7,  'r.arihara.sys20', 'tlIHh0fz1cjSKFqTByjNtuJwqLVfRDFd', '2e97a8660f40b141b8fe1436064c4f227050e36e5590f210ee5d802e59ad11cd', false);
insert into user values (90000269, '竹内', '金義', '1980/06/15',90000020 , 6, 7,  'r.arihara.sys20', '7OEEOcooFakMqIUQdwHNLuZaGJ1Xj2RL', 'd29925ea618f17f4a49122c23574388cd4d877182abb0331d9af8fc63bd636bb', false);
